Student_ID,Subject,Assignment_Name,Due_Date,Status,Grade_Feedback,Guardian_Signature
S07449,Math,Agency Guy.,2024-11-11,Done,B-,Yes
S02318,Math,Difficult Stand Article Deep.,2024-12-08,Not Done,C,Yes
S04706,Geography,Teach Open.,2024-11-14,Pending,F,Yes
S07726,Arabic,Exist Next Whom.,2025-02-01,Done,B,-
S08593,Science,Design Their Happy Treatment.,2025-02-24,Done,B,No
S06267,Geography,Office.,2024-11-10,Pending,B-,No
S03757,Math,Ok Each.,2024-08-10,Not Done,D,-
S03985,English,Green Somebody.,2025-02-27,Not Done,B-,Yes
S04322,Arabic,Century Public.,2025-02-16,Pending,B-,Yes
S01487,Math,Measure Their Piece.,2024-10-31,Not Done,A,No
S07854,Geography,Late Many Eight.,2025-01-05,Done,D,No
S06182,Arabic,Wall Spring Tend.,2025-01-23,Not Done,C,-
S01367,English,Along Spring.,2025-02-22,Done,C,-
S01302,English,Rule Personal Short.,2024-09-16,Done,A+,Yes
S07532,History,Challenge Operation Husband.,2024-11-16,Not Done,B,Yes
S11652,Geography,Create Public Especially.,2025-01-10,Not Done,F,No
S07760,English,List Agreement.,2025-01-20,Done,C,No
S07351,Geography,Language Position Skin.,2024-09-23,Not Done,A,-
S04812,English,Who First.,2025-03-06, Done ,A,No
S05768,Geography,Body Relate International.,2025-02-07,Not Done,B-,No
S08813,Math,Door Foreign Each Military.,2024-09-28,Pending,B,Yes
S00156,English,Now Local Carry.,2024-11-18,Done,A,-
S11510,Arabic,Play Heart Admit Guess.,2024-11-12,Not Done,C,Yes
S08528,History,Tv.,2025-03-01,Not Done,B,No
S06671,History,Nation Deep.,2024-12-16,Done,C-,No
S09013,Arabic,Right Image.,2024-09-20,Pending,C,No
S11993,Math,Mouth Account.,2024-10-08,Pending,A+,-
S04264,Geography,Energy Believe Happy.,2024-09-16,Not Done,A,No
S02414,Math,Not Create.,2024-12-30,Pending,B,Yes
S06115,Science,Sister Themselves.,2024-09-21,Not Done,D,-
S04064,English,Type Somebody Different.,2025-03-09,Done,F,-
S00753,History,There Fill.,2025-01-17, Done ,A,Yes
S02102,English,According Animal Much.,2025-01-17,Not Done,A,-
S08949,Math,Buy Likely.,2025-01-20, Done ,B,No
S00765,Arabic,Leg One.,2024-10-24,Not Done,A+,-
S02434,Science,Avoid Town Thought.,2024-09-23, Done ,C,Yes
S07862,Math,Economic Quality.,2025-05-02, Done ,B,No
S10130,English,Kitchen Perhaps Focus.,2024-11-21,Pending,D,-
S00888,Science,Safe Lay.,2024-10-26,Not Done,C,No
S02863,Science,Ahead Response Cup Season.,2024-11-08,Done,C,No
S01326,Science,In All Group.,2025-01-14, Done ,B-,Yes
S05779,English,Able Meet Recently Save.,2024-12-04, Done ,A,No
S02711,Geography,Available Response.,2024-10-25,Pending,B-,-
S03060,Math,Subject Responsibility.,2025-02-28, Done ,F,-
S08179,English,Make Reveal.,2024-12-27,Pending,F,Yes
S02041,English,Term.,2025-01-27,Pending,C-,No
S01984,Science,Present Soldier Fight.,2024-12-10,Done,F,Yes
S10239,Arabic,Large I.,2024-10-25, Done ,B-,No
S05405,Arabic,From Entire Role.,2024-11-02,Done,C-,Yes
S06014,Math,Section.,2024-11-21, Done ,C-,Yes
S03735,Science,Future Back.,2025-01-21,Done,A,No
S10593,English,Anyone Girl Ago.,2025-01-18,Pending,C,No
S07950,Arabic,So Condition Firm.,2024-12-28, Done ,A+,Yes
S11259,Geography,Only More.,2024-12-10,Done,C,-
S04675,Science,Past Civil Four.,2025-02-01,Not Done,A,No
S03885,English,Likely Go.,2024-09-14,Done,A,No
S01911,Math,Writer Expect.,2025-03-06,Done,A+,-
S07387,English,Quite Save.,2025-01-14,Done,C,-
S01460,Math,Certain.,2024-09-08, Done ,C,Yes
S07904,History,Human Weight.,2024-10-17, Done ,D,-
S11262,Geography,Quite Skin Seek.,2025-01-22,Not Done,B,-
S01350,English,Month Address Once.,2025-03-09,Not Done,B,-
S03489,Arabic,Herself Institution A.,2024-10-23,Not Done,C,Yes
S00679,Arabic,Find.,2024-12-15, Done ,A+,Yes
S05429,Science,Produce Free.,2024-09-10, Done ,C,-
S04644,History,Almost Important.,2024-12-07,Pending,A,No
S02262,History,Carry Series.,2024-12-11,Done,B,No
S01037,Science,Tv Send.,2024-10-27,Not Done,C,-
S10538,History,White Stage.,2024-11-03,Not Done,C,No
S06412,Geography,Difference Job Heart.,2024-12-16,Pending,A,Yes
S01837,Math,Process Budget.,2024-10-05,Pending,B,No
S09870,Arabic,Try Subject.,2025-02-06,Not Done,B,-
S03368,English,Military Under.,2024-09-27, Done ,D,No
S05853,English,Anything Attention.,2024-09-26,Done,F,No
S09113,Math,Director Care Black.,2025-01-28,Done,B-,Yes
S02874,Geography,Effort What Fill Letter.,2025-02-10,Not Done,D,No
S06709,Science,Clear Loss Own.,2025-02-13,Done,B-,No
S07486,Arabic,Job Civil Pressure.,2025-02-08,Not Done,C,-
S07232,Arabic,High Serve.,2024-11-10,Not Done,B,No
S02407,Geography,Develop Term.,2024-10-18,Not Done,F,Yes
S01186,Geography,Style Subject.,2024-07-11, Done ,C,Yes
S11119,History,Join Yeah Statement.,2024-11-20,Done,A+,-
S05761,Arabic,Claim Budget.,2024-09-29,Done,B-,-
S11449,Science,Respond Keep Church.,2025-01-21,Done,A+,Yes
S06760,English,Produce Provide Former Discover.,2024-12-18,Done,B,Yes
S01039,Math,Writer Land.,2025-02-10,Done,F,No
S02745,Math,Forget Police.,2025-01-28,Not Done,B-,-
S04016,Arabic,Sea Deal Sea.,2024-12-04, Done ,D,Yes
S08929,Science,Make Prove Spend Compare.,2025-03-07,Done,C-,-
S01108,Science,Tend Reason Authority.,2025-01-19,Done,F,-
S00706,Arabic,Operation Expect.,2024-12-02,Done,B-,No
S09524,Arabic,Lawyer Social Economic.,2024-11-06,Not Done,F,No
S02886,History,Hospital Two.,2024-11-27, Done ,D,Yes
S08413,Science,Receive Window.,2024-09-10,Done,C-,-
S00531,Math,Fill Fact Challenge.,2024-12-19,Not Done,F,Yes
S00869,Geography,Sing Worry Share.,2024-11-17,Pending,B-,-
S03223,Science,Occur.,2024-09-17,Done,A+,-
S10609,Math,Top Born Center.,2025-03-07, Done ,C-,-
S00736,Geography,Thousand Key.,2025-01-20,Not Done,F,-
S10599,Geography,Fall Tonight.,2024-08-12, Done ,F,-
S05773,History,Career Professional.,2024-12-30,Not Done,A+,No
S03079,Science,After Whom.,2024-09-17,Not Done,A+,No
S06460,Arabic,She Cut.,2024-11-06,Done,B,No
S02286,English,Building Role Woman.,2024-10-23,Done,F,Yes
S03558,Geography,Both Though Involve.,2025-02-15,Not Done,B,-
S04555,English,Skill Certainly Task.,2025-01-31, Done ,A,-
S05138,History,Certainly World Perhaps.,2025-01-20,Not Done,C-,No
S09536,English,His Long Stay Action.,2025-02-02,Done,D,-
S04734,English,Smile Seven.,2024-11-26,Done,F,Yes
S09624,History,Mrs Ever Fight.,2025-02-23, Done ,D,No
S08816,History,Accept Need.,2025-02-21,Not Done,C,Yes
S08185,Science,Service So.,2024-09-28,Done,B,-
S09909,English,Reality Coach Still.,2024-11-24,Not Done,C,No
S11466,Science,Number.,2025-03-08,Done,B-,No
S07383,Math,To Point Mouth.,2025-01-21,Not Done,C,No
S07304,Math,Girl Pressure.,2025-02-10,Done,A+,No
S08104,English,Brother Rest Paper.,2025-01-04,Not Done,B-,-
S02836,English,Democrat None.,2024-10-07,Pending,B,Yes
S01046,Arabic,Director Theory New.,2024-06-10,Done,B,-
S00290,Arabic,Offer Back Race.,2024-10-06,Done,C-,No
S06630,English,Manage Authority Style.,2024-09-22,Not Done,A,-
S03709,Science,Decade Pick Fact.,2024-12-28,Done,A+,Yes
S01601,Math,Third Green Central.,2024-11-01,Done,A,-
S01995,English,Without Table.,2024-02-12,Done,B,No
S11484,Math,Fill Little Walk.,2024-09-17, Done ,C,-
S03838,Arabic,Its Home Mother Note.,2024-11-21,Done,D,Yes
S08815,English,Air Keep.,2024-11-06,Pending,B,Yes
S11615,History,Mind Modern Animal.,2025-01-08,Done,F,-
S03231,History,Firm Appear Firm.,2025-02-18,Not Done,C-,-
S10173,English,Usually Science.,2025-01-20,Pending,A+,No
S04939,English,Degree Large.,2025-01-02,Done,B,Yes
S09977,Geography,Project.,2025-01-24,Done,C-,Yes
S00986,English,Building Me.,2025-03-03, Done ,B-,No
S01547,Arabic,Note Carry Produce.,2024-11-24,Done,D,Yes
S05251,Science,Assume Early Hold Student.,2024-11-10,Not Done,A+,No
S09656,Geography,Common Market.,2025-01-04,Not Done,A+,-
S06108,Science,Forward Up.,2025-01-01,Not Done,A,Yes
S08033,Arabic,Such Fact Home.,2024-12-23,Not Done,A+,Yes
S11599,English,Itself Rock.,2024-12-12,Done,B,No
S07747,English,Marriage Ask Because Market.,2024-12-12,Not Done,C,No
S11191,Geography,Power Across.,2024-10-12,Done,B-,No
S00712,English,Fact Coach Week.,2024-10-11,Pending,C-,-
S00230,Math,Glass Coach.,2025-01-30,Pending,F,No
S11118,English,Understand Feel Thus.,2025-03-04,Pending,F,-
S03281,English,Wife Visit Of.,2024-12-28,Done,A+,No
S02697,History,Herself Community.,2025-03-09,Not Done,A,No
S05796,Math,See Decide So.,2025-01-26,Pending,A+,No
S06682,Geography,Travel List.,2024-10-16,Done,D,Yes
S10857,Science,Show Single Part.,2024-09-15,Not Done,A,-
S03736,History,Miss.,2025-01-30,Done,D,No
S08762,Arabic,Herself Option Agree Mother.,2024-12-13,Not Done,C,No
S02699,Math,Answer Send.,2024-09-25,Done,A+,Yes
S11689,Science,Cut Entire Wear.,2024-11-29,Not Done,B,-
S00930,Arabic,Single Same Far Mission.,2024-09-16, Done ,C,No
S05750,Geography,Future Impact Really.,2024-12-29,Done,A+,No
S08725,Science,Way Officer.,2025-01-06,Pending,B,Yes
S05506,English,Show Represent Own.,2024-11-18,Pending,C-,No
S08009,Arabic,Million Miss.,2024-11-19,Not Done,F,Yes
S09409,Arabic,Meet Marriage Us.,2024-12-09,Done,D,No
S05536,History,Good True Near War.,2024-10-10, Done ,B-,No
S10522,Geography,Can Idea.,2025-01-31, Done ,B,-
S00952,History,Them Also Author.,2024-12-24,Not Done,B-,-
S09145,Science,Force Fact.,2024-10-13,Done,A+,Yes
S00171,History,Attorney Century.,2025-02-27,Pending,C,Yes
S01193,Arabic,Free Over Rule.,2024-12-26,Not Done,B,-
S11567,Geography,When Carry.,2025-02-19,Not Done,B-,Yes
S07583,Science,Teach Stand Food.,2025-01-16,Done,A,-
S02886,English,Member Our.,2025-01-18,Done,A,-
S00547,Science,Response Out.,2024-12-04,Pending,B,No
S08280,Arabic,Guess Common Huge.,2024-12-02,Pending,A,-
S01820,Science,Until Them.,2025-01-11,Pending,C-,No
S08205,Geography,Brother Husband.,2024-10-05, Done ,A+,-
S09061,Math,Say Window.,2025-02-14,Not Done,B-,-
S03487,Math,Cold Certain Adult.,2024-11-12,Done,A+,Yes
S10199,Science,History Player Pick.,2024-11-18, Done ,D,Yes
S04175,History,Yes Use Begin.,2024-08-09,Pending,B,No
S02003,English,Statement Happen Summer.,2024-10-14,Done,C,No
S07791,History,Whom Assume Television.,2024-11-28, Done ,A+,-
S01262,Arabic,Help Good.,2024-11-17,Done,B,-
S11158,Geography,Piece Traditional.,2025-02-07, Done ,A+,No
S04532,Science,Family Congress Easy.,2025-02-23,Not Done,B-,No
S07445,Math,Win For.,2025-02-26,Done,A+,Yes
S05831,Arabic,Little Foreign Front.,2025-03-06, Done ,B-,No
S11181,Arabic,Fall Region.,2025-02-16,Done,A+,No
S03361,Science,At Into.,2024-11-02,Not Done,D,Yes
S04271,English,Speak Ability Central.,2025-02-02, Done ,A+,No
S03861,History,Record.,2025-06-03, Done ,A,-
S10597,Geography,Expect Join Himself On.,2024-11-10,Not Done,B,-
S09878,Arabic,Any.,2025-01-16,Not Done,A+,Yes
S12020,History,Charge Least.,2024-12-23,Not Done,B-,-
S08175,History,Realize Total.,2024-12-02, Done ,A+,Yes
S09125,History,Behind Near.,2025-01-13,Not Done,F,-
S06591,Science,Resource Tax Their.,2024-10-05,Pending,A+,-
S03229,History,Truth Face Black.,2024-11-29,Done,C-,-
S09165,History,Decision Move.,2024-11-21,Pending,C-,Yes
S09959,Geography,Nearly Very Home.,2025-01-05,Done,D,Yes
S09318,Science,Term Scientist Serious.,2024-11-09,Not Done,C-,Yes
S10300,Arabic,Stuff.,2024-12-31,Not Done,C-,Yes
S10231,History,Word Stage Seat.,2025-02-24,Not Done,B,Yes
S10308,Math,Field Safe Former Debate.,2024-10-19,Not Done,B,No
S11308,English,Field Degree.,2024-12-01,Not Done,F,-
S05018,Arabic,Air Fact General.,2025-02-24,Pending,B,No
S11166,Science,And Call.,2024-11-15,Pending,B-,-
S00812,Arabic,Surface.,2025-01-01,Pending,B,No
S11170,Geography,Put Kitchen.,2025-01-05,Done,B-,Yes
S00903,Math,Area Role.,2025-01-05,Not Done,A+,Yes
S07346,Science,Who Hit Down.,2024-09-19,Done,D,No
S04362,Science,Or Player.,2024-10-14,Not Done,A+,No
S07240,Science,Member Head Never.,2024-12-15,Not Done,A+,No
S02967,Science,Price Win Present.,2024-09-08, Done ,D,-
S02428,Geography,Case.,2024-10-18,Done,C-,Yes
S06324,English,Nation Report.,2024-10-25,Not Done,B,Yes
S02510,Geography,Rise Me Finish.,2024-10-24,Pending,B-,-
S00564,Arabic,Discuss Admit.,2024-12-12,Not Done,A,Yes
S00222,English,Interest Top.,2024-11-08, Done ,A,Yes
S05117,Geography,Heart Political Ahead.,2025-01-20, Done ,C,Yes
S03206,Science,Stock Reason.,2025-01-30,Done,D,-
S04894,Science,Bad Discuss.,2025-02-22,Done,C,-
S02576,Science,Able Mrs Model.,2025-01-08,Done,A+,Yes
S09085,Geography,Protect House Anything Others.,2025-01-30,Done,A+,No
S02153,Science,Behavior Similar Show Light.,2024-12-14,Not Done,B-,No
S03294,Geography,Decision Group Gas.,2025-01-10, Done ,B-,Yes
S11200,Arabic,Science.,2024-12-15,Done,F,-
S04048,Arabic,Less Car Decide.,2024-10-13,Not Done,C,Yes
S11698,Math,Oil Enter.,2024-11-04, Done ,A+,-
S10587,History,Play Above.,2024-10-19,Not Done,B-,No
S06793,English,Also Three Skill.,2024-09-20, Done ,F,No
S06351,English,Various Do Team.,2024-10-16,Pending,D,-
S03902,Science,Newspaper Old.,2025-01-05,Not Done,F,No
S02779,History,Entire Tv.,2025-02-26,Done,B-,Yes
S09816,History,Others Quickly.,2025-02-20,Done,F,-
S10873,Science,Hair Offer Brother.,2025-01-18,Not Done,D,-
S05449,Math,Door.,2024-10-26,Done,B,-
S10018,Arabic,All Meet.,2024-12-10,Done,B-,Yes
S07481,English,Affect.,2025-02-15,Done,D,-
S04581,Arabic,Live Success.,2024-09-26,Done,A+,-
S02238,Geography,Rise Medical Structure.,2024-12-10,Done,D,-
S09131,Math,Music Hope.,2024-12-18,Done,C-,-
S00072,Geography,Shake Throughout.,2024-09-11, Done ,C,-
S09293,English,Case Plant.,2024-09-08, Done ,B,No
S11057,English,Office Young Bank Whom.,2024-12-20,Done,C,Yes
S05299,Geography,Particular Knowledge Already.,2025-02-27,Done,D,Yes
S02727,Math,Send Day Without.,2024-11-14, Done ,B,Yes
S10432,History,Two Fine.,2025-07-02,Done,A+,-
S07178,History,Name Mission Reach Night.,2024-10-25, Done ,D,-
S04260,Geography,Market Much.,2024-09-15,Not Done,C,No
S07751,English,Watch Late Reveal Mouth.,2024-10-17,Done,A,No
S07686,History,Five Most.,2024-12-12, Done ,A,-
S05883,Math,Window Daughter.,2024-12-14,Done,B-,No
S08558,Science,Quite Determine.,2025-02-09,Done,C,No
S07397,Arabic,Really House.,2024-11-30,Not Done,F,No
S06471,Arabic,Good Along.,2025-02-21,Not Done,D,-
S08852,Geography,Myself Move.,2024-09-15,Not Done,C-,No
S10263,Math,Staff Now Grow.,2024-11-25,Not Done,A,-
S05730,Math,Put Woman.,2024-02-12,Done,C,Yes
S02221,Geography,Country Learn.,2024-11-03, Done ,F,No
S09452,Science,Cell.,2024-12-31,Done,F,Yes
S06760,Arabic,Federal.,2025-02-20,Done,B-,Yes
S11354,English,Decide Century Almost.,2025-01-24,Done,F,Yes
S08695,Geography,Cut Include Couple.,2025-01-24,Done,C,Yes
S05931,History,Already School.,2025-01-16,Pending,C-,-
S07480,History,To Around.,2024-12-25,Done,A,No
S03783,Arabic,Themselves Over National.,2024-10-23,Done,A,Yes
S01869,Geography,Wind Everyone.,2025-01-22,Not Done,C-,-
S04403,Math,Focus Figure.,2024-10-11, Done ,F,-
S10265,Math,Drive Every.,2024-12-24,Done,A+,No
S10676,Geography,Perform Woman Seat.,2024-12-02,Pending,B-,No
S02931,English,Ball Board.,2025-10-01, Done ,D,-
S01616,Math,While Share Impact.,2024-10-01,Done,C,No
S11761,English,On Beyond.,2024-12-24,Not Done,C-,Yes
S01338,History,Wife Real Matter.,2025-01-22, Done ,B-,Yes
S05220,Arabic,Resource Nation Soldier.,2025-02-15,Not Done,A+,Yes
S01949,Geography,Produce Physical.,2024-09-13,Not Done,F,Yes
S02936,Science,Million Site.,2024-10-17, Done ,B-,-
S04678,History,Week During.,2024-12-02,Not Done,F,Yes
S02485,Geography,Coach You Treat White.,2025-02-09,Done,B,Yes
S04696,Geography,Option Common.,2025-01-01,Done,A,-
S10441,Science,Carry Same Law.,2024-09-24,Not Done,A+,Yes
S06494,History,Four Eat Image.,2025-02-09,Not Done,B,Yes
S06169,Science,Car Indicate.,2025-02-26,Pending,C,Yes
S01730,Arabic,Project Fall.,2025-02-06,Done,A,Yes
S07481,Science,Natural Plan.,2024-11-22,Done,C,-
S07715,History,Foreign Leader Various Especially.,2024-12-14,Done,F,-
S00493,English,I Tell.,2024-12-08,Pending,C,-
S02902,English,Dream Chair.,2024-12-31,Pending,A+,Yes
